===========================================================
172.24.220.87
evarts
Filesystem                       Size  Used Avail Use% Mounted on
ogawa:/datos/ogawa                   440G  408G  8.9G  98% /misc/ogawa
ogawa:/datos/ogawa2                  469G  332G  113G  75% /misc/ogawa2
ogawa:/datos/ogawa3                  469G   32G  414G   7% /misc/ogawa3
opuntia:/datos/opuntia               1.7T  2.0G  1.6T   1% /misc/opuntia
penfield:/datos/penfield             1.8T  499G  1.3T  29% /misc/penfield
purcell:/datos/purcell               687G   47G  605G   8% /misc/purcell
rabi:/datos/rabi                     1.8T   63G  1.6T   4% /misc/rabi
ridelim:/datos/ridelim               916G  812G   59G  94% /misc/ridelim
sherrington:/datos/sherrington       1.8T  980G  743G  57% /misc/sherrington
sherrington:/datos/sherrington2      1.8T  1.3T  476G  73% /misc/sherrington2
tanner:/datos/tanner                 2.7T  282G  2.3T  11% /misc/tanner
tesla:/datos/tesla1                  9.1T  7.0T  1.7T  81% /misc/tesla1
tesla:/datos/tesla2                  9.1T  7.9T  713G  92% /misc/tesla2
tesla:/datos/tesla3                  9.1T  3.1T  5.6T  36% /misc/tesla3
tezca:/datos/tezca                   1.8T  1.6T  196G  89% /misc/tezca
tezca:/datos/tezca2                  916G  848G   22G  98% /misc/tezca2
tmpfs                                2.8G  184K  2.8G   1% /run/user/1254
drobo02:/mnt/DroboFS/Shares/Scratch   16T   13T  3.4T  80% /misc/drobo02
tmpfs                                2.8G   96K  2.8G   1% /run/user/127
===========================================================
172.24.220.93
===========================================================
172.24.220.94
claustrum
Filesystem                      Size  Used Avail Use% Mounted on
tmpfs                           2.4G  2.3M  2.4G   1% /run
/dev/sda2                        64G   56G  5.1G  92% /
tmpfs                            12G  1.3M   12G   1% /dev/shm
tmpfs                           5.0M  8.0K  5.0M   1% /run/lock
/dev/sdb1                       3.6T  3.4T     0 100% /datos/claustrum
/dev/sda1                       509M  6.1M  503M   2% /boot/efi
/dev/sda4                       375G  2.5M  356G   1% /tmp
hahn:/inb                       7.3T  1.1T  5.9T  15% /home/inb
tmpfs                           2.4G   88K  2.4G   1% /run/user/1289
tmpfs                           2.4G   92K  2.4G   1% /run/user/1052
tmpfs                           2.4G   88K  2.4G   1% /run/user/1045
tmpfs                           2.4G   96K  2.4G   1% /run/user/1000
tmpfs                           2.4G   88K  2.4G   1% /run/user/1044
tmpfs                           2.4G   88K  2.4G   1% /run/user/1095
tmpfs                           2.4G   88K  2.4G   1% /run/user/1110
tmpfs                           2.4G  104K  2.4G   1% /run/user/127
tmpfs                           2.4G   88K  2.4G   1% /run/user/1012
tmpfs                           2.4G   88K  2.4G   1% /run/user/1270
nyquist:/datos/nyquist          3.6T  3.3T  160G  96% /misc/nyquist
ernst:/datos/ernst              1.8T  1.7T     0 100% /misc/ernst
fourier:/datos/fourier2         1.8T  773G  968G  45% /misc/fourier2
jasper:/datos/jasper            1.8T  1.4T  303G  83% /misc/jasper
lauterbur:/datos/lauterbur2     5.5T  1.1T  4.1T  22% /misc/lauterbur2
moca:/datos/moca2               7.3T  1.2T  5.8T  17% /misc/moca2
tezca:/datos/tezca2             916G  848G   22G  98% /misc/tezca2
tournoux:/datos/tournoux2       3.6T  1.9T  1.6T  55% /misc/tournoux2
tezca:/datos/tezca              1.8T  1.6T  196G  89% /misc/tezca
ernst:/datos/ernst2             3.6T  486G  3.0T  14% /misc/ernst2
brown:/datos/brown              1.8T  1.7T   91G  95% /misc/brown
charcot:/datos/charcot          3.6T  3.2T  272G  93% /misc/charcot
charcot:/datos/charcot2         1.8T  1.7T   65G  97% /misc/charcot2
copula:/datos/copula            3.6T  3.4T     0 100% /misc/copula
damadian:/datos/damadian        3.6T  471G  3.0T  14% /misc/damadian
euler:/datos/euler              3.5T  2.8T  515G  85% /misc/euler
fourier:/datos/fourier          917G  639G  232G  74% /misc/fourier
geminis:/datos/geminis          1.8T  1.4T  324G  82% /misc/geminis
lauterbur:/datos/lauterbur      494G  372G   98G  80% /misc/lauterbur
nyquist:/datos/nyquist2         1.8T   13G  1.7T   1% /misc/nyquist2
opuntia:/datos/opuntia          1.7T  2.0G  1.6T   1% /misc/opuntia
rabi:/datos/rabi                1.8T   63G  1.6T   4% /misc/rabi
ridelim:/datos/ridelim          916G  812G   59G  94% /misc/ridelim
sherrington:/datos/sherrington  1.8T  980G  743G  57% /misc/sherrington
tanner:/datos/tanner            2.7T  282G  2.3T  11% /misc/tanner
tournoux:/datos/tournoux        1.8T  1.7T   35G  99% /misc/tournoux
tmpfs                           2.4G   88K  2.4G   1% /run/user/1028
===========================================================
172.24.220.95
arwen
Filesystem               Size  Used Avail Use% Mounted on
tmpfs                    3.2G  2.1M  3.2G   1% /run
/dev/sdc2                 64G   55G  6.1G  90% /
tmpfs                     16G  896K   16G   1% /dev/shm
tmpfs                    5.0M  8.0K  5.0M   1% /run/lock
efivarfs                 128K  109K   15K  89% /sys/firmware/efi/efivars
/dev/sda1                909G  824G   40G  96% /datos/arwen
/dev/sdc1                509M  6.1M  503M   2% /boot/efi
/dev/sdb1                7.3T  7.2T     0 100% /datos/HCP
/dev/sdc4                137G   21M  130G   1% /tmp
hahn:/inb                7.3T  1.1T  5.9T  15% /home/inb
tmpfs                    3.2G   88K  3.2G   1% /run/user/1223
tmpfs                    3.2G  4.9M  3.2G   1% /run/user/1244
geminis:/datos/geminis2  3.6T  2.4T  1.1T  69% /misc/geminis2
